utterance_id	From	To	File	Id	String id	Year of birth	Sex	Education	Place of birth	Place of living	Left Context	DMatch	Right Context
116	473280	477787	2019_zhanvil_pds1932_4_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	тогда (тады), ну тогда (тады) её, как (як) уже (ужо) всё, тогда (тады) выльете (	выльюсте	).
158	711347	712763	2019_zhanvil_pds1932_4_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну где (иде) на	перекрёстке	.
359	251376	254208	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	тебя дети там (тама), в	сундуке	(сундуку) там таблетки,
364	269888	273406	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну она (ина) сказала, что, Анька, прибери там таблетка в	сундуке	(сундуку).
438	586661	589836	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	ну,	заде	=, ну белым застилали.
492	835850	837430	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну женщина ж в	платке	.
526	967457	971474	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Узорами ткали его дык, какие - то (	якие	- то) кубики и всё.
580	40721	44195	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	во всяком	случае	, почти ничего такого не знаю особенно.
618	192162	196221	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	По = понятно, да? Это рядом с вами, где вы живёте в нашем	доме	,
650	334856	339048	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	А мы же рядом, мы же в	районе	одном, одинаково.
667	406208	409075	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	в	обиходе	редко бывают. Вот и мы так.
699	548459	553633	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	и там меня в	зале	, там оно (ино), а она мне всё вяжет, люди, есть же вот такие люди, которые
706	576872	580017	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	у нас на	огороде	, вот мы поремся, там по хозяйству, всё,
731	674359	678115	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Это ж было уже сколько лет? Это мне уже шестьдесят лет будет в	феврале	.
745	733075	736935	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Вот такие дела. Как вы там (тама) в нашем	доме	? Номально? Ну ладненько.
789	899284	902639	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	тоже связала она мне тоже, у меня только вот это (	этое	) всё.
806	965988	969627	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Вот на	уровне	кровати привязывали, кровати ж были большие железные,
1063	498865	505242	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	На	столе	, этот (этый), с ко =, с кута отставила стол, мне три раза проводила по этому.
1100	710796	714837	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Дак это уже, знать, в	декабре	, наверно, я родила её.
1242	69657	73819	2019_Soino-pma1937_4_1		pma1937	1937	f	4 класса	Яновка	Соино	А я ему не сказала, что остальную, в	чугуне	это варилось, да,
1256	108247	110707	2019_Soino-pma1937_4_1		pma1937	1937	f	4 класса	Яновка	Соино	А в	доме	, ну хоть бы тебе (табе) литра воды.
1321	138470	140970	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Ну, да. Подушки какие (	якие	),
1428	503102	504932	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Какие (	якие	) хочешь, тюли купи.
1780	42223	44068	2018_stajki_vfp1931_2_25-47		vfp1931	1931	f	6 классов	Николаево	Стайки	Кто в таком, моем	возрасте	.
1813	166236	169746	2018_stajki_vfp1931_2_25-47		vfp1931	1931	f	6 классов	Николаево	Стайки	Этот (этый)	берете	, перед тобой, беремо перенесет дальше.
1848	296099	299349	2018_stajki_vfp1931_2_25-47		vfp1931	1931	f	6 классов	Николаево	Стайки	Хоть они и были в	магазине	, дык куплять не за что было.
1910	560658	564864	2018_stajki_vfp1931_2_25-47		vfp1931	1931	f	6 классов	Николаево	Стайки	Бывает и так, без ничего, ну он все время на	тракторе	работал.
1912	569599	572577	2018_stajki_vfp1931_2_25-47		vfp1931	1931	f	6 классов	Николаево	Стайки	На	тракторе	протрава, лен сеяли.
1981	891056	893549	2018_stajki_vfp1931_2_25-47		vfp1931	1931	f	6 классов	Николаево	Стайки	Каждый сам знает, ну в	колхозе	.
2294	479447	482050	2019_Soino-pma1937_4_2		pma1937	1937	f	4 класса	Яновка	Соино	И родители, и гости были в твоём	доме	.
2348	621573	623404	2019_Soino-pma1937_4_2		pma1937	1937	f	4 класса	Яновка	Соино	А потом в	конце	всех блюд,
2366	676977	678330	2019_Soino-pma1937_4_2		pma1937	1937	f	4 класса	Яновка	Соино	Ну в этом, примерно,	доме	.
2448	57552	60034	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну а кино идёт в	клубе	.
2451	66634	70088	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А где ты их возьмёшь, ну хоть под окно глядим кино то (	тое	).
2526	347425	351593	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Так что тоже [рупить] надо идти (итить) то (	тое	) сделать, то (тое) сделать.
2526	347425	351593	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Так что тоже [рупить] надо идти (итить) то (тое) сделать, то (	тое	) сделать.
2591	550115	554865	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Восемьсот восемдесят я в государственном	банке	расписалась.
2593	557948	560292	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Я в государственном	банке	расписалась.
2609	623470	625400	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну раньше какие (	якие	) ж...
2619	655657	658477	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Дак тоже в	загоне	ско = были эти (этыя) свиньи.
2625	672795	677063	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Летом, зимой дак в	сарае	ж всё, а летом.
2719	997371	998679	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	В том в	рассоле	.
