hæstv, nken-s, Hæstv

forseti, nken, forseti

ég, fp1en, Ég

taka, sfg1en, tek

upp, aa, upp

þráður, nkeog, þráðinn

þar, aa, þar

sem, c, sem

frá, aa, frá

vera, sfg3eþ, var

hverfa, sþghen, horfið

í, ao, í

morgunn, nkeo, morgun

í, aþ, í

umfjöllun, nveþ, umfjöllun

um, aa, um

framvegis, aa, frv.

til, ae, til

lag, nhfe, laga

um, ao, um

tímabundinn, lvfosf, tímabundnar

ráðning, nvee, ráðningar

starfsmaður, nkfe, starfsmanna

í, aþ, Í

sá, faheþ, því

skyn, nheþ, skyni

að, cn, að

koma, sng, koma

í, ao, í

vegur, nkeo, veg

fyrir, ao, fyrir

að, c, að

tímabundinn, lvfnsf, tímabundnar

ráðning, nvee, ráðningar

verða, svg3en, verði

misnota, sþgvfn, misnotaðar

þannig, aa, þannig

að, c, að

hver, foken, hver

tímabundinn, lkensf, tímabundinn

ráðningarsamningur, nken, ráðningarsamningur

tak, nheþ, taki

við, aa, við

af, aþ, af

annar, fokfþ, öðrum

vera, sfg3en, er

mæla, sþghen, mælt

fyrir, aa, fyrir

um, ao, um

þrennur, lkeesf, þrenns

konar, nkee, konar

leiða, sfg3en, leiðir

sem, ct, sem

stjórnvald, nhfn, stjórnvöld

geta, sfg3fn, geta

velja, ssg, valið

um, aa, um

í, aþ, í

samráð, nheþ, samráði

við, ao, við

aðili, nkfo, aðila

vinnumarkaður, nkeeg, vinnumarkaðarins

samtök, nhfn, Samtök

aðili, nkfe, aðila

vinnumarkaður, nkeeg, vinnumarkaðarins

geta, sfg3fþ, gátu

ekki, aa, ekki

koma, ssg, komið

sig, fpkfþ, sér

saman, aa, saman

um, ao, um

útfærsla, nveo, útfærslu

á, aþ, á

þessi, faheþ, þessu

ákvæði, nhfo, ákvæði

og, c, og

vera, sfg3en, er

því, aa, því

leggja, sþghen, lagt

til, ae, til

að, c, að

taka, sþgven, tekin

verða, svg3en, verði

upp, aa, upp

regla, nven, regla

gildandi, lhfeof, gildandi

starfsmannalag, nhfe, starfsmannalaga

um, ao, um

takmörkun, nvfo, takmarkanir

á, aþ, á

tímabundinn, lkfþsf, tímabundnum

ráðningarsamningur, nkfþ, ráðningarsamningum

vera, sfg3en, Er

það, fpheþ, því

gera, sþghen, gert

ráð, nhen, ráð

fyrir, ao, fyrir

að, c, að

tímabundinn, lkensf, tímabundinn

ráðningarsamningur, nken, ráðningarsamningur

vari, nken, vari

ekki, aa, ekki

samfellt, aa, samfellt

lengi, aam, lengur

en, c, en

tveir, tfhfo, tvö

ár, nhfo, ár

að, aþ, að

það, fpheþ, því

undanskilinn, lheþsf, undanskildu

að, c, að

annar, fohen, annað

vera, svg3en, sé

taka, sþghen, tekið

fram, aa, fram

í, aþ, í

lag, nhfþ, lögum

til, ae, Til

viðbót, nvee, viðbótar

vera, sfg3en, er

þó, aa, þó

leggja, sþghen, lagt

til, ae, til

að, c, að

